,videoId,channelId,videoTitle,videoDescription,imageUrl,channelTitle,liveBroadcastContent,videoPublishTime,order,query,videoId,videoViewCnt,videoLikeCnt,videoCommentCnt,videoDuration
34,zPyg4N7bcHM,UCoP2nmYSKQ0oisOGCLmPLcQ,Calm Your Anxiety,Spotify: https://open.spotify.com/playlist/4bjrQKiiqNhsk1RgRR1PRF? Instagram: https://www.instagram.com/neotiic/ ...,https://i.ytimg.com/vi/zPyg4N7bcHM/hqdefault.jpg,NEOTIC,none,2020-11-09 07:15:01+09:00,viewCount,lofi,zPyg4N7bcHM,19756567,495470,25933,24M14S
35,CfPxlb8-ZQ0,UCQtJT-hZA3FDTDHnQt9Qqsg,"Work &amp; Study Lofi Jazz - Relaxing Smooth Background Jazz Music for Work, Study, Focus, Coding","Feel free to listen, share, and stream on your favorite places! Please subscribe to our channel and enjoy the latest release: ...",https://i.ytimg.com/vi/CfPxlb8-ZQ0/hqdefault.jpg,Musictag,none,2020-08-09 01:36:44+09:00,viewCount,lofi,CfPxlb8-ZQ0,17956740,160552,2893,3H23M29S
36,59uP6DOkYTM,UC7CLR70PwAff4tBUavQ42cw,Cô Ấy Nói (Lofi Ver.) - Ngô Anh Đạt x Freak D,Cô Ấy Nói (Lofi Ver.) - Ngô Anh Đạt x Freak D #freakd​ #lofi​ #coaynoi ▻ Official Mv: ▻ Official Audio: ▻ More information about ...,https://i.ytimg.com/vi/59uP6DOkYTM/hqdefault.jpg,Freak D Music,none,2021-06-12 21:00:02+09:00,viewCount,lofi,59uP6DOkYTM,17021174,79364,908,5M31S
37,XN41UJ7EZ4E,UCz0blhNqQzYQkLe8QauglZA,cute lofi mix  songs to help you be happy - 寛げる [ J A P A N E S E   L O F I   F U T U R E   B A S S],"hi guys ! This video is about the 10k special, this means i will also upload this kind of content not just piano music. I hope not to ...",https://i.ytimg.com/vi/XN41UJ7EZ4E/hqdefault.jpg,Andrela-Chxn,none,2020-04-25 18:09:03+09:00,viewCount,lofi,XN41UJ7EZ4E,16413788,0,17254,28M50S
38,p6zYyGTyOVc,UCxhPsyV6SZyMJxCeYRltk4Q,Balam-Ki Nesha--slowed+reverb--Lofi Type,ki nesha lofi ki nesha song ki nesha lyrics ki nesha balam ki nesha lofi remix ki nesha jorale lyrics ki nesha chorale song #lofitype ...,https://i.ytimg.com/vi/p6zYyGTyOVc/hqdefault.jpg,Lofi Type,none,2022-12-12 23:23:20+09:00,viewCount,lofi,p6zYyGTyOVc,15600416,124579,5504,5M31S
39,TURbeWK2wwg,UCSJ4gkVC6NrvII8umztf0Ow,4 A.M Study Session 📚 [lofi hip hop/chill beats],"Listen on Spotify, Apple music and more → https://fanlink.to/lofigirl-music | Join the Lofi Girl community ...",https://i.ytimg.com/vi/TURbeWK2wwg/hqdefault.jpg,Lofi Girl,none,2021-04-27 04:00:13+09:00,viewCount,lofi,TURbeWK2wwg,15518693,239505,6816,1H1M45S
40,i43tkaTXtwI,UCSJ4gkVC6NrvII8umztf0Ow,Best of lofi hip hop 2022 🎆 - beats to relax/study to,Get the Best Of on vinyl ! (limited edition): → https://bit.ly/3i3clWd The new Lofi Girl compilation “Best of 2022” is out now 2023 is ...,https://i.ytimg.com/vi/i43tkaTXtwI/hqdefault.jpg,Lofi Girl,none,2022-12-31 05:00:08+09:00,viewCount,lofi,i43tkaTXtwI,14431139,101971,2595,3H19M11S
41,-1CwZ-U7UEs,UCyXAU6RAAXl0vJ_Vt0_ErWQ,1 Hour Of Pure Lofi | Metro Version | Arijit Singh lofi To Travel/Study/Drive/Chill/Relaxing/Peace,1 Hour of Pure Peace | Metro Version | Rain lofi edit to Travel/Chill/Study/Relax/Arijit Singh Aapka 1 SUB hamare liye SAB KUCH ...,https://i.ytimg.com/vi/-1CwZ-U7UEs/hqdefault.jpg,One lofi,none,2022-06-30 13:36:30+09:00,viewCount,lofi,-1CwZ-U7UEs,14305181,237052,4291,1H3M55S
42,nVGNUIj31ks,UC06cxbuQh-VGSQwh3All8kQ,Sad Lofi Songs | Alone Broken Lofi Song [ Slowed + Reverb ],Tags: #sadsongs #nightsongs #sadhindisong Sad Lofi Songs | Alone Broken Lofi Song [ Slowed + Reverb ] Sad Lofi Songs ...,https://i.ytimg.com/vi/nVGNUIj31ks/hqdefault.jpg,Today Best Lofi Song,none,2023-06-12 01:15:03+09:00,viewCount,lofi,nVGNUIj31ks,14042435,152882,4593,26M39S
43,ldUT4FLxql4,UCYVyQv2rUtCMxJAFSuOSpmg,Alone with myself / lofi hip hop mix,Dreamy・・ ○ Spotify : → https://open.spotify.com/user/6qxhced3b0l62lh3fedtbv14y ○ Instagram ...,https://i.ytimg.com/vi/ldUT4FLxql4/hqdefault.jpg,Dreamy,none,2018-12-20 23:45:35+09:00,viewCount,lofi,ldUT4FLxql4,13669432,361252,21599,57M36S
